n;t
0;0
1;40
2;60
3;80
4;83
5;112
6;127
7;131
8;151
9;151
10;171
11;316
12;266
13;355
14;235
15;244
16;299
17;258
18;384
19;320
20;541
21;465
22;424
23;483
24;465
25;377
26;482
27;428
28;418
29;454
30;458
31;434
32;461
33;451
34;548
35;507
36;629
37;593
38;588
39;614
40;567
41;686
42;614
43;669
44;600
45;600
46;616
47;723
48;720
49;681
50;693
51;777
52;753
53;755
54;793
55;788
56;791
57;803
58;843
59;814
60;858
61;917
62;853
63;881
64;986
65;1005
66;998
67;1037
68;983
69;949
70;1059
71;1065
72;1065
73;1042
74;1077
75;1137
76;1093
77;1140
78;1129
79;1220
80;1146
81;1148
82;1257
83;1317
84;1213
85;1275
86;1321
87;1260
88;1365
89;1359
90;1544
91;1706
92;1790
93;1717
94;1866
95;1896
96;1905
97;1926
98;2017
99;1956
100;1954
101;2245
102;2030
103;2068
104;2029
105;2113
106;2180
107;2190
108;2147
109;2116
110;2125
111;2239
112;2176
113;2306
114;2302
115;2267
116;2232
117;2231
118;2359
119;2262
120;2454
121;2372
122;2441
123;2348
124;2376
125;2465
126;2525
127;2425
128;2524
129;2683
130;2560
131;2506
132;2539
133;2575
134;2625
135;2707
136;2634
137;2596
138;2890
139;2713
140;2695
141;2733
142;2735
143;2784
144;2847
145;2789
146;2915
147;2932
148;2799
149;2944
150;2914
151;2902
152;2862
153;2901
154;2952
155;3022
156;3030
157;3004
158;3126
159;3258
160;3028
161;3056
162;3257
163;3087
164;3315
165;3127
166;3194
167;3235
168;3325
169;3202
170;3337
171;3313
172;3291
173;3406
174;3385
175;3347
176;3336
177;3601
178;3329
179;3513
180;3563
181;3678
182;3451
183;3486
184;3676
185;3609
186;3515
187;3813
188;3801
189;3823
190;3604
191;3698
192;3962
193;3869
194;3650
195;3708
196;3674
197;3407
198;3436
199;3205
