corr;tau
0;0.57965595
1;-0.023540018
2;-0.25371763
3;0.3479377
4;-0.16472723
5;0.057542115
6;-0.16443627
7;-0.28284192
8;0.4075804
9;-0.23658966
10;-0.08190746
11;0.30887496
12;-0.13351265
13;0.22997223
14;-0.07820771
15;-0.15300089
16;0.20008689
17;-0.27349648
18;0.009869984
19;0.0034089615
20;-0.17797285
21;0.23844686
22;0.004471864
23;0.009382782
24;0.06975964
25;0.009644424
26;0.101565294
27;-0.20349492
28;-0.11072662
29;0.029081102
30;-0.06902892
31;-0.07621368
32;-0.05641774
33;0.17930932
34;-0.0083219595
35;0.023420794
36;0.13061096
37;-0.21343446
38;0.1382155
39;-0.024827424
40;-0.24606611
41;0.105786465
42;-0.12504202
43;0.25875077
44;0.024933975
45;-0.25058433
46;0.5811547
47;-0.049126305
48;-0.19904943
49;0.19065863
50;-0.20843105
51;0.16998684
52;-0.22786759
53;-0.25866893
54;0.42312053
55;-0.19560203
56;0.013867575
57;0.20649879
58;-0.13125385
59;0.25593776
60;-0.1592462
61;-0.1352634
62;0.1383442
63;-0.26383072
64;0.08664971
65;-0.016855922
66;-0.12461234
67;0.23218447
68;0.020430582
69;0.048245393
70;-0.023455571
71;-0.019356472
72;0.09428033
73;-0.20608015
74;-0.12161059
75;-0.0029254733
76;0.012965317
77;-0.04031071
78;-0.05088379
79;0.19236553
80;-0.03911556
81;0.06036646
82;0.082950674
83;-0.26471066
84;0.14085941
85;-0.05231886
86;-0.14715022
87;0.080416165
88;-0.15352798
89;0.39639312
90;0.009202368
91;-0.26252356
92;0.5218776
93;-0.082019225
94;-0.120062225
95;0.040870987
96;-0.24266355
97;0.26821005
98;-0.24895342
99;-0.2081891
100;0.39900637
101;-0.15733632
102;0.10251206
103;0.097538695
104;-0.13736205
105;0.24976721
106;-0.21469367
107;-0.096853815
108;0.0781691
109;-0.23587544
110;0.15507305
111;-0.017831976
112;-0.0715508
113;0.19101477
114;0.02752062
115;0.07547914
116;-0.10616784
117;-0.053850427
118;0.07530449
119;-0.17347777
120;-0.11459874
121;-0.029864917
122;0.086704664
123;-0.012241103
124;-0.032049466
125;0.17976153
126;-0.090581074
127;0.09317767
128;0.03776419
