corr;tau
0;1.0
1;0.050115276
2;0.08238074
3;0.35266972
4;0.20991978
5;0.33063224
6;-0.26493958
7;0.018774442
8;0.14170994
9;0.04879027
10;-0.06696614
11;-0.21195456
12;0.036990304
13;0.22057167
14;-0.1017689
15;-0.38707697
16;0.06948124
17;0.064556874
18;-0.18666698
19;-0.379817
20;-0.1977061
21;0.042241033
22;-0.19868621
23;-0.3775958
24;-0.3109034
25;0.04446076
26;-0.10073971
27;-0.29576778
28;-0.3033876
29;0.05552169
30;0.17555487
31;-0.3058519
32;-0.17530234
33;0.14170268
34;0.116954006
35;-0.15075913
36;-0.09573314
37;-0.07548702
38;0.23856726
39;0.09333884
40;-0.20056674
41;0.2780123
42;0.18420166
43;0.6045386
44;0.026027896
45;0.015111286
46;0.91960216
47;0.102894396
48;0.15427287
49;0.094428405
50;0.18968382
51;0.32839358
52;-0.2326331
53;-0.04865622
54;0.02443238
55;0.12657899
56;-3.6194187E-4
57;-0.22550654
58;-0.08781227
59;0.24626452
60;-0.025581742
61;-0.39641964
62;-0.06855857
63;0.029551938
64;-0.06987789
65;-0.39372912
66;-0.28152788
67;-0.018476915
68;-0.08220592
69;-0.32792214
70;-0.3761636
71;-0.010776535
72;-0.014701654
73;-0.16625465
74;-0.37282833
75;0.012668775
76;0.22968286
77;-0.17985561
78;-0.21659945
79;0.052478477
80;0.13619281
81;-0.053060897
82;-0.07961686
83;-0.18227972
84;0.29860148
85;0.15392825
86;-0.04894107
87;0.20179534
88;0.13676971
89;0.7985205
90;0.006713779
91;0.0107304435
92;0.7405743
93;0.1538993
94;0.22726114
95;-0.10304855
96;0.13814344
97;0.28202727
98;-0.14021319
99;-0.0865702
100;-0.08285324
101;0.14349316
102;0.08315892
103;-0.19779968
104;-0.2157532
105;0.21872307
106;0.033347536
107;-0.3444734
108;-0.20156702
109;-0.037427012
110;0.015382399
111;-0.34718466
112;-0.3374157
113;-0.11547542
114;0.0058024847
115;-0.24831788
116;-0.38556528
117;-0.10507295
118;0.04070467
119;-0.026077494
120;-0.38653758
121;-0.052079063
122;0.22840843
123;-0.047799427
124;-0.22018194
125;-0.026277233
126;0.09235174
127;0.05735585
128;-0.029691804
